Tickers;Segmentos
TAXA357;BOLSA
TAXA358;BOLSA
TAXA359;BOLSA
TAXA35L;BOLSA
TAXA36;BOLSA
TAXA360;BOLSA
TAXA361;BOLSA
TAXA362;BOLSA
TAXA363;BOLSA
TAXA364;BOLSA
TAXA365;BOLSA
TAXA36L;BOLSA
TAXA37;BOLSA
TAXA37L;BOLSA
TAXA38;BOLSA
TAXA38L;BOLSA
TAXA39;BOLSA
TAXA39L;BOLSA
TAXA40;BOLSA
TAXA40L;BOLSA
TAXA41;BOLSA
TAXA41L;BOLSA
TAXA42;BOLSA
TAXA42L;BOLSA
TAXA43;BOLSA
TAXA43L;BOLSA
TAXA44;BOLSA
TAXA44L;BOLSA
TAXA45;BOLSA
TAXA45L;BOLSA
TAXA46;BOLSA
TAXA46L;BOLSA
TAXA47;BOLSA
TAXA47L;BOLSA
TAXA48;BOLSA
TAXA48L;BOLSA
TAXA49;BOLSA
TAXA49L;BOLSA
TAXA50;BOLSA
TAXA50L;BOLSA
TAXA51;BOLSA
TAXA51L;BOLSA
TAXA52;BOLSA
TAXA52L;BOLSA
TAXA53;BOLSA
TAXA53L;BOLSA
TAXA54;BOLSA
TAXA54L;BOLSA
TAXA55;BOLSA
TAXA55L;BOLSA
TAXA56;BOLSA
TAXA56L;BOLSA
TAXA57;BOLSA
TAXA57L;BOLSA
TAXA58;BOLSA
TAXA58L;BOLSA
TAXA59;BOLSA
TAXA59L;BOLSA
TAXA60;BOLSA
TAXA60L;BOLSA
TAXA61;BOLSA
TAXA61L;BOLSA
TAXA62;BOLSA
TAXA62L;BOLSA
TAXA63;BOLSA
TAXA63L;BOLSA
TAXA64;BOLSA
TAXA64L;BOLSA
TAXA65;BOLSA
TAXA65L;BOLSA
TAXA66;BOLSA
TAXA66L;BOLSA
TAXA67;BOLSA
TAXA67L;BOLSA
TAXA68;BOLSA
TAXA68L;BOLSA
TAXA69;BOLSA
TAXA69L;BOLSA
TAXA70;BOLSA
TAXA70L;BOLSA
TAXA71;BOLSA
TAXA71L;BOLSA
TAXA72;BOLSA
TAXA72L;BOLSA
TAXA73;BOLSA
TAXA73L;BOLSA
TAXA74;BOLSA
TAXA74L;BOLSA
TAXA75;BOLSA
TAXA75L;BOLSA
TAXA76;BOLSA
TAXA76L;BOLSA
TAXA77;BOLSA
TAXA77L;BOLSA
TAXA78;BOLSA
TAXA78L;BOLSA
TAXA79;BOLSA
TAXA79L;BOLSA
TAXA80;BOLSA
TAXA80L;BOLSA
TAXA81;BOLSA
TAXA81L;BOLSA
TAXA82;BOLSA
TAXA82L;BOLSA
TAXA83;BOLSA
TAXA83L;BOLSA
TAXA84;BOLSA
TAXA84L;BOLSA
TAXA85;BOLSA
TAXA85L;BOLSA
TAXA86;BOLSA
TAXA86L;BOLSA
TAXA87;BOLSA
TAXA87L;BOLSA
TAXA88;BOLSA
TAXA88L;BOLSA
TAXA89;BOLSA
TAXA89L;BOLSA
TAXA90;BOLSA
TAXA90L;BOLSA
TAXA91;BOLSA
TAXA91L;BOLSA
TAXA92;BOLSA
TAXA92L;BOLSA
